I0,I1,I2,I3,I4,I5
6510,6643,5355,853,194,-1047
6115,6970,5029,708,-895,187
5689,7004,4995,770,-1386,616
5021,7021,4977,724,-1380,656
4838,7160,5669,362,-1082,720
5100,6899,6361,-516,-788,1304
5196,6187,6803,-856,-717,1573
5394,5375,6623,-871,-352,1223
5983,4991,7007,-837,457,380
6451,5033,6966,-1056,1247,-191
6968,5032,6841,-1001,1221,-220
7104,4895,6118,-730,1033,-303
6931,5068,5495,-308,624,-316
6546,5679,5453,607,600,-1207
6469,6329,5529,1179,435,-1614
6169,6760,5239,1029,-251,-778
5934,6810,5188,842,-1147,305
5626,6847,5152,844,-1292,448
5128,6881,5118,671,-1206,535
4839,7159,5693,662,-1335,673
4895,7103,6515,721,-1304,583
4948,6448,7049,603,-1192,589
5146,5604,6853,291,-906,615
5903,5336,6664,-62,-886,948
6581,5418,6394,-570,-876,1446
6711,5287,6195,-1108,-399,1507
6919,5080,6464,-1390,578,812
6969,5029,5832,-1222,1181,41
6958,5040,5125,-1250,1327,-77
7070,5790,4929,-1316,1399,-83
6929,6636,5069,-1002,1017,-15
6214,6866,5133,-743,784,-41
5395,6603,5403,-243,557,-314
5142,6857,6213,540,410,-950
5049,6949,6211,1390,-196,-1194
5036,6963,6597,1460,-771,-689
4946,6504,7053,1403,-1087,-316
4993,5697,7006,1016,-815,-201
5417,5151,6847,664,-657,-7
6377,5308,6692,210,-565,355
6754,5245,6016,-386,-726,1112
6823,5176,5601,-1024,-516,1540
6889,5108,5378,-1315,-171,1486
6900,5130,5098,-1228,379,849
7008,5921,4992,-877,979,-102
6810,6672,5189,-783,971,-188
6064,6754,5244,-739,1021,-282
5474,6590,5408,-465,907,-442
5244,6756,6145,17,570,-587
5079,6919,6518,1100,114,-1214
5021,6977,6627,1502,-552,-950
4931,6443,7068,1432,-1079,-353
4981,5594,7017,981,-869,-112
5618,5094,6904,745,-767,22
6456,5283,6715,343,-571,228
6788,5211,6027,-116,-630,746
6857,5142,5405,-880,-442,1322
6854,5282,5145,-1194,-300,1494
7014,5689,4984,-1022,-244,1266
6971,6173,5027,-723,82,641
6694,6665,5304,-733,944,-211
5943,6687,5311,-873,1261,-388
5463,6536,5469,-610,996,-386
5291,6707,6151,-113,531,-418
5050,6947,6365,1076,-140,-936
5059,6940,6665,1583,-1003,-580
4930,6455,7068,1522,-1170,-352
4967,5639,7031,1066,-840,-226
5479,5086,6913,860,-801,-59
6411,5212,6787,420,-636,216
6747,5251,6030,-11,-688,699
