I0,I1,I2
21326,-14375,-6951
21631,-10481,-11150
21177,-6513,-14664
19701,-2124,-17577
17572,2132,-19704
14478,6567,-21045
10456,10910,-21366
6418,14606,-21024
2145,17465,-19610
-2120,19647,-17527
-6727,20934,-14207
-11067,21342,-10275
-14891,20901,-6010
-17898,19329,-1431
-20092,17032,3060
-21272,13992,7280
-21594,10044,11550
-21021,6080,14941
-19618,1806,17812
-17465,-2450,19915
-14313,-6897,21210
-10778,-10923,21701
-7288,-14388,21676
-3300,-17320,20620
495,-19383,18888
5106,-20806,15700
9433,-21619,12186
13517,-21635,8118
16867,-20431,3564
19338,-18711,-627
20955,-16038,-4917
21759,-12630,-9129
21701,-8844,-12857
20781,-4558,-16223
19243,-383,-18860
16846,3807,-20653
13431,8064,-21495
9359,12238,-21597
5143,15625,-20768
1043,18310,-19353
-3498,20191,-16693
-7915,21375,-13460
-12296,21685,-9389
-15918,20946,-5028
-18715,19234,-519
-20587,16500,4087
-21569,13195,8374
-21742,9347,12395
-20996,5123,15873
-19894,1299,18595
-18133,-2446,20579
-15052,-6715,21767
-11496,-10555,22051
-7132,-14363,21495
-2945,-17329,20274
1311,-19511,18200
5824,-21186,15362
10151,-21887,11736
14132,-21693,7561
17254,-20484,3230
19750,-18645,-1105
21260,-15963,-5297
22147,-12502,-9645
21998,-8575,-13423
20996,-4384,-16612
19168,-4,-19164
16640,4182,-20822
13080,8629,-21709
8984,12779,-21763
4752,16112,-20864
420,18826,-19246
-4125,20587,-16462
-8761,21474,-12713
-13167,21466,-8299
-16842,20084,-3242
-19267,17923,1344
-21120,15340,5780
-21808,11756,10052
-21681,7829,13852
-20587,3572,17015
-18830,-573,19403
-15823,-5127,20950
-12238,-9499,21737
-8113,-13517,21630
-3679,-16714,20393
577,-19131,18554
5226,-20847,15621
9858,-21610,11752
13909,-21573,7664
17279,-20534,3255
19668,-18533,-1135
21173,-15604,-5569
21751,-11805,-9946
21751,-8006,-13745
20538,-3683,-16855
18855,503,-19358
15963,4974,-20937
12342,9219,-21561
8002,13356,-21358
3514,16689,-20203
-800,19148,-18348
-5841,20563,-14722
-10423,21313,-10890
-14639,21194,-6555
-17844,19837,-1993
-20175,17523,2652
-21379,14392,6987
-21705,10461,11244
-21441,6600,14841
-20996,3254,17742
-19445,-676,20121
-16005,-5106,21111
-12115,-9504,21619
-8064,-13550,21614
-3708,-16706,20414
676,-19333,18657
5156,-20884,15728
9598,-21730,12132
13781,-21536,7755
17085,-20575,3490
19589,-18744,-845
21223,-15951,-5272
21916,-12304,-9612
21874,-8448,-13426
20856,-4224,-16632
18954,94,-19048
16203,4442,-20645
12651,8984,-21635
8349,13195,-21544
4145,16454,-20599
-292,19028,-18736
-5053,20752,-15699
-9792,21503,-11711
-14066,21078,-7012
-17370,19965,-2595
-19861,17729,2132
-21301,14887,6414
-21718,10535,11183
-21297,6897,14400
-19870,2206,17664
-17960,-1724,19684
-14825,-6340,21165
-10386,-11174,21560
-6612,-14577,21189
-1967,-17617,19584
2120,-19676,17556
6727,-21144,14417
11253,-21582,10329
14994,-21120,6126
18418,-19560,1142
20348,-17135,-3213
21417,-14256,-7161
21726,-10353,-11373
21280,-6059,-15221
20142,-2334,-17808
17931,1980,-19911
14850,6418,-21268
10481,11203,-21684
6600,14577,-21177
1666,17828,-19494
-2747,19812,-17065
-7458,21231,-13773
-11459,21635,-10176
-15345,20988,-5643
-18187,19478,-1291
-20348,16924,3424
-21557,13789,7768
-21879,9590,12289
-21202,5676,15526
-19705,1171,18534
-17754,-2578,20332
-14487,-7165,21652
-11347,-10638,21985
-7037,-14499,21536
-2578,-17650,20228
1476,-19812,18336
5564,-21235,15671
9739,-21961,12222
13905,-21804,7899
17168,-20682,3514
19795,-18467,-1328
21169,-15807,-5362
22093,-12012,-10081
21850,-7973,-13877
20889,-4232,-16657
19515,-317,-19198
16607,4417,-21024
12944,8806,-21750
8951,12874,-21825
4640,16240,-20880
243,18826,-19069
-4826,20418,-15592
-9149,21021,-11872
-13649,21115,-7466
-17457,19981,-2524
-19894,17758,2136
-21326,15221,6105
-21817,10972,10845
-21425,6909,14516
-20257,2974,17283
-18323,-1130,19453
-15039,-6084,21123
-11517,-10056,21573
-6793,-14388,21181
-3003,-17139,20142
1852,-19556,17704
6616,-21029,14413
11616,-21206,9590
14940,-20868,5928
18459,-19432,973
20439,-17180,-3259
21734,-14210,-7524
21945,-10263,-11682
21388,-6641,-14747
20084,-2169,-17915
17758,2190,-19948
14903,6228,-21131
10621,11022,-21643
6525,14466,-20991
1505,17820,-19325
-2446,19696,-17250
-7936,21078,-13142
-12424,21425,-9001
-15774,20794,-5020
-18929,18768,161
-20699,16293,4406
-21544,13253,8291
-21800,9174,12626
-20959,4867,16092
-19696,948,18748
-17584,-3159,20743
-14454,-7354,21808
-10799,-11166,21965
-6138,-15101,21239
-2161,-17708,19869
1967,-19845,17878
6880,-21404,14524
11191,-22019,10828
14887,-21520,6633
17853,-20253,2400
20014,-18013,-2001
21524,-15118,-6406
21982,-11657,-10325
21577,-7152,-14425
20480,-3106,-17374
18381,1274,-19655
15435,5737,-21172
11624,10102,-21726
7557,13971,-21528
3366,17098,-20464
-672,19313,-18641
-5106,20827,-15721
-9747,21417,-11670
-14338,21330,-6992
-17345,20072,-2727
-19808,18133,1675
-21532,15048,6484
-21998,11682,10316
-21639,7156,14483
-20579,3411,17168
-18706,-796,19502
-15691,-5564,21255
-11974,-9858,21832
-8703,-13319,22022
-4768,-16491,21259
-4,-19280,19284
4228,-20777,16549
8823,-21808,12985
13183,-21763,8580
16586,-20926,4340
19251,-19115,-136
21021,-16541,-4480
21846,-13488,-8358
21998,-9248,-12750
21033,-4813,-16220
19618,-994,-18624
17411,3102,-20513
13633,8031,-21664
9590,12243,-21833
5511,15448,-20959
899,18529,-19428
-3312,20303,-16991
-8349,21516,-13167
-12820,21870,-9050
-16380,21012,-4632
-19156,19177,-21
-20930,16574,4356
-21821,13476,8345
-22155,9763,12392
-21214,5049,16165
-20505,1596,18909
-18830,-2169,20999
-15604,-6472,22076
-11785,-10564,22349
-7627,-14317,21944
-3452,-17325,20777
730,-19738,19008
5255,-21400,16145
9388,-22328,12940
13389,-22398,9009
16755,-21437,4682
19408,-19754,346
21235,-17304,-3931
22336,-14095,-8241
22691,-10291,-12400
21916,-6055,-15861
20336,-1786,-18550
18100,2528,-20628
15048,6884,-21932
11302,11108,-22410
7024,14817,-21841
2796,17894,-20690
-1464,20051,-18587
-6158,21557,-15399
-10811,22093,-11282
-14961,21594,-6633
-18240,20018,-1778
-20493,17712,2781
-22089,14924,7165
-22539,11059,11480
-22151,7062,15089
-20930,2932,17998
-19003,-1233,20236
-15963,-5812,21775
-12304,-10060,22364
-8159,-14082,22241
-3889,-17143,21032
515,-19560,19045
5172,-21186,16014
9879,-22056,12177
14066,-22225,8159
17547,-21190,3643
20039,-19078,-961
21631,-15947,-5684
22295,-12284,-10011
22275,-8287,-13988
21198,-4021,-17177
19387,301,-19688
16813,4686,-21499
13109,9136,-22245
8773,13294,-22067
4450,16632,-21082
37,19342,-19379
-4892,21161,-16269
-9726,22044,-12318
-13979,22159,-8180
-17469,21021,-3552
-20121,19074,1047
-21755,16297,5458
-22460,12486,9974
-22518,8852,13666
-22130,5247,16883
-21309,1670,19639
-18645,-2693,21338
-15118,-7090,22208
-11116,-11521,22637
-6868,-15233,22101
-2673,-18302,20975
1414,-20497,19083
6117,-22101,15984
10613,-22679,12066
14392,-22567,8175
17634,-21668,4034
20241,-19779,-462
21903,-17238,-4665
22852,-13707,-9145
22852,-9796,-13056
22163,-5651,-16512
20559,-1320,-19239
18133,3143,-21276
14874,7590,-22464
10679,12045,-22724
6406,15786,-22192
2103,18706,-20809
-2285,20913,-18628
-7000,22312,-15312
-11562,22831,-11269
-15435,22299,-6864
-18657,20880,-2223
-21128,18591,2537
-22444,15600,6844
-23034,11739,11295
-22596,7639,14957
-21454,3275,18179
-19507,-1018,20525
-16524,-5647,22171
-12824,-10098,22922
-8658,-14132,22790
-4351,-17353,21704
70,-19960,19890
4290,-21685,17395
9004,-22761,13757
13327,-22819,9492
16924,-22023,5099
19833,-20080,247
21648,-17089,-4559
22489,-13092,-9397
22741,-9359,-13382
22011,-4974,-17037
20014,-330,-19684
17386,4199,-21585
13567,8922,-22489
9326,13257,-22583
4863,16784,-21647
136,19569,-19705
-4834,21437,-16603
-9755,22456,-12701
-14177,22394,-8217
-17721,21148,-3427
-20402,18777,1625
-22176,16017,6159
-22873,12148,10725
-22687,7990,14697
-21763,4017,17746
-20084,-226,20310
-17333,-4694,22027
-13740,-9029,22769
-9594,-13286,22880
-5205,-16714,21919
-610,-19536,20146
3658,-21532,17874
8448,-22596,14148
12952,-22918,9966
16599,-22204,5605
19659,-20517,858
21643,-17791,-3852
22724,-14247,-8477
23153,-10428,-12725
22299,-6055,-16244
20946,-1773,-19173
18570,2623,-21193
15151,7222,-22373
11096,11785,-22881
6633,15658,-22291
1852,18826,-20678
-2714,20975,-18261
-7998,22130,-14132
-12754,22468,-9714
-16656,21986,-5330
-19800,20266,-466
-21821,17700,4121
-22823,14243,8580
-23108,10296,12812
-22394,6059,16335
-20963,1703,19260
-18488,-2829,21317
-15175,-7321,22496
-11174,-11892,23066
-6905,-15621,22526
-2491,-18669,21160
2165,-20790,18625
6888,-22361,15473
11950,-22699,10749
15811,-22308,6497
19107,-20868,1761
21334,-18632,-2702
22724,-15427,-7297
22996,-11290,-11706
22629,-7140,-15489
21363,-2706,-18657
18950,1860,-20810
15720,6657,-22377
11550,11244,-22794
7222,15184,-22406
2689,18397,-21086
-1905,20691,-18786
-6901,22287,-15386
-11665,22996,-11331
-15687,22539,-6852
-18946,20959,-2013
-21338,18698,2640
-22650,15394,7256
-23219,11500,11719
-22732,7251,15481
-21544,2970,18574
-19998,-990,20988
-17502,-5197,22699
-13905,-9565,23470
-9487,-13752,23239
-5123,-17118,22241
-507,-19919,20426
3918,-21907,17989
8633,-22984,14351
12882,-23458,10576
16454,-22893,6439
19556,-21186,1630
21709,-18834,-2875
23025,-15609,-7416
23520,-11570,-11950
23170,-7594,-15576
21747,-3023,-18724
19684,1394,-21078
16429,6105,-22534
12688,10687,-23375
8439,14701,-23140
4100,18026,-22126
-602,20604,-20002
-5346,22225,-16879
-10477,23029,-12552
-14685,23062,-8377
-18348,21899,-3551
-21000,19861,1139
-22671,17003,5668
-23665,13525,10140
-23483,9462,14021
-22547,4995,17552
-20831,643,20188
-18108,-4054,22162
-14548,-8666,23214
-10366,-13125,23491
-6562,-16557,23119
-2037,-19494,21531
2433,-21536,19103
7276,-22947,15671
11962,-23648,11686
15918,-23062,7144
19247,-21742,2495
21582,-19490,-2092
22972,-16236,-6736
23661,-12271,-11390
23306,-8014,-15292
22056,-3580,-18476
20241,866,-21107
17015,5713,-22728
13010,10456,-23466
8526,14614,-23140
4021,18104,-22125
-639,20678,-20039
-5597,22435,-16838
-10522,23487,-12965
-14792,23463,-8671
-18302,22435,-4133
-21025,20274,751
-22728,17028,5700
-23661,13299,10362
-23434,8901,14533
-22761,4867,17894
-21367,684,20683
-19420,-3349,22769
-16025,-7804,23829
-11735,-12271,24006
-7635,-15959,23594
-2660,-19280,21940
1802,-21454,19652
6439,-23149,16710
11112,-24052,12940
15200,-23681,8481
18579,-22473,3894
21379,-20501,-878
23178,-17436,-5742
24085,-13690,-10395
24044,-9664,-14380
22988,-5172,-17816
