I0,I1,I2
-4558,4017,541
-5032,3122,1910
-4409,1167,3242
-3510,-3931,7441
-1881,-3712,5593
-400,-4356,4756
3044,-4607,1563
3972,-4120,148
4818,-3531,-1287
4822,-2124,-2698
4038,78,-4116
2685,3514,-6199
1031,4038,-5069
-3584,4426,-842
-3700,4574,-874
-4851,4104,747
-5168,3097,2071
-4533,1175,3358
-3613,-3968,7581
-1909,-3828,5737
-363,-4541,4904
3097,-4842,1745
4199,-4562,363
5016,-3869,-1147
5098,-2429,-2669
4347,-338,-4009
2838,3522,-6360
1291,4108,-5399
-3646,4554,-908
-3597,4809,-1212
-4694,4248,446
-5193,3407,1786
-4727,1559,3168
-3844,-3048,6892
-2297,-3757,6054
-457,-4393,4850
2920,-4698,1778
3993,-4343,350
4838,-3762,-1076
4801,-2409,-2392
4079,-284,-3795
2796,3357,-6153
1163,4013,-5176
-3749,4450,-701
-3510,4582,-1072
-4632,4224,408
-5106,3180,1926
-4488,1258,3230
-3642,-3877,7519
-1909,-3861,5770
-408,-4405,4813
2949,-4570,1621
4013,-4211,198
4818,-3543,-1275
4714,-2103,-2611
3951,136,-4087
2706,3559,-6265
1014,4038,-5052
-3786,4438,-652
-3654,4529,-875
-4772,4030,742
-5119,3085,2034
-4496,1113,3383
-3489,-3947,7436
-1823,-3922,5745
-317,-4500,4817
3291,-4752,1461
4125,-4380,255
4999,-3720,-1279
5049,-2388,-2661
4224,-251,-3973
2891,3366,-6257
1249,3997,-5246
-3353,4496,-1143
-3696,4677,-981
-4747,4133,614
-5139,3213,1926
-4607,1274,3333
-3770,-3877,7647
-2008,-3848,5856
-363,-4405,4768
3052,-4702,1650
4112,-4413,301
4933,-3898,-1035
4908,-2495,-2413
4269,-408,-3861
2866,3419,-6285
1307,4104,-5411
-3357,4413,-1056
-3679,4611,-932
-4727,4232,495
-5197,3246,1951
-4776,1505,3271
-3770,-3885,7655
-2107,-3844,5951
-367,-4446,4813
3052,-4822,1770
4067,-4554,487
4896,-3947,-949
4950,-2664,-2286
4261,-523,-3738
3011,3498,-6509
1419,3993,-5412
-3135,4467,-1332
-3621,4574,-953
-4628,4257,371
-5119,3130,1989
-4578,1344,3234
-3737,-3848,7585
-2103,-3885,5988
-408,-4409,4817
2932,-4702,1770
4001,-4438,437
4838,-3914,-924
4822,-2495,-2327
4075,-325,-3750
2957,3337,-6294
1266,3848,-5114
-3630,4389,-759
-3597,4475,-878
-4566,3984,582
-5016,3073,1943
-4413,1084,3329
-3411,-3852,7263
-1831,-3724,5555
-408,-4298,4706
2924,-4459,1535
3898,-3984,86
4653,-3456,-1197
4628,-2112,-2516
3832,272,-4104
2565,3415,-5980
812,4059,-4871
-3015,4356,-1341
-3795,4347,-552
-4834,3898,936
-4999,2796,2203
-4252,746,3506
-3221,-3465,6686
-1703,-3861,5564
-169,-4446,4615
3229,-4603,1374
4158,-4224,66
4855,-3580,-1275
4834,-1971,-2863
4079,284,-4363
2499,3679,-6178
792,4219,-5011
-3217,4677,-1460
-3980,4764,-784
-4962,4137,825
-5255,3093,2162
-4558,1113,3445
-3922,-3836,7758
-2347,-3918,6265
-486,-4500,4986
3027,-4615,1588
3918,-4269,351
4760,-3724,-1036
4743,-2293,-2450
3993,-235,-3758
2598,3419,-6017
911,4108,-5019
-3630,4401,-771
-3584,4492,-908
-4636,3988,648
-4937,3040,1897
-4265,1101,3164
-3300,-4017,7317
-1736,-3708,5444
-148,-4343,4491
3143,-4393,1250
4067,-3902,-165
4723,-3188,-1535
4545,-1666,-2879
3729,2091,-5820
2384,3724,-6108
705,4158,-4863
-2825,4471,-1646
-3799,4512,-713
-4818,4063,755
-5040,2908,2132
-4294,845,3449
-3250,-3547,6797
-1674,-3852,5526
66,-4488,4422
3555,-4599,1044
4261,-4211,-50
5036,-3419,-1617
5007,-1942,-3065
4104,775,-4879
2739,3687,-6426
1010,4232,-5242
-3848,4714,-866
-3700,4888,-1188
-4801,4199,602
-5181,3221,1960
-4595,1274,3321
-3770,-3852,7622
-1996,-3910,5906
-325,-4430,4755
3097,-4760,1663
4207,-4446,239
5069,-3733,-1336
4970,-2392,-2578
4215,-239,-3976
2904,3444,-6348
1299,4071,-5370
-3559,4446,-887
-3658,4644,-986
-4710,4215,495
-5214,3337,1877
-4723,1373,3350
-3712,-3840,7552
-2029,-3803,5832
-358,-4475,4833
3130,-4834,1704
4174,-4525,351
4950,-3836,-1114
5016,-2421,-2595
4314,-338,-3976
2978,3432,-6410
1332,4100,-5432
-3308,4603,-1295
-3625,4772,-1147
-4698,4376,322
-5271,3390,1881
-4727,1571,3156
-3951,-3440,7391
-2301,-3774,6075
-474,-4413,4887
2961,-4756,1795
4017,-4525,508
4888,-3951,-937
4970,-2640,-2330
4203,-404,-3799
3015,3304,-6319
1381,4034,-5415
-2545,4384,-1839
-3691,4554,-863
-4558,4067,491
-5106,3262,1844
-4525,1332,3193
-3675,-3786,7461
-1984,-3708,5692
-470,-4384,4854
2970,-4570,1600
3898,-4203,305
4702,-3625,-1077
4801,-2338,-2463
4017,-214,-3803
2743,3300,-6043
1051,3931,-4982
-3811,4294,-483
-3572,4384,-812
-4723,3955,768
-4933,2871,2062
-4331,948,3383
-3378,-3696,7074
-1753,-3885,5638
-4,-4438,4442
3382,-4665,1283
4261,-4343,82
4983,-3601,-1382
4925,-2169,-2756
4195,-107,-4088
2776,3625,-6401
1039,4162,-5201
-3910,4615,-705
-3770,4789,-1019
-4859,4215,644
-5251,3242,2009
-4710,1320,3390
-3935,-3918,7853
-2248,-3840,6088
-470,-4483,4953
2978,-4809,1831
4001,-4434,433
4892,-3931,-961
4888,-2491,-2397
4166,-342,-3824
2821,3390,-6211
1188,4013,-5201
-3902,4475,-573
-3609,4607,-998
-4615,4075,540
-5044,3205,1839
-4442,1200,3242
-3597,-3976,7573
-1885,-3741,5626
-363,-4298,4661
2970,-4467,1497
3927,-4141,214
4694,-3460,-1234
4624,-2066,-2558
3803,449,-4252
2574,3485,-6059
754,4083,-4837
-3267,4405,-1138
-3774,4413,-639
-4785,3947,838
-4978,2767,2211
-4244,701,3543
-3151,-3477,6628
-1637,-3922,5559
4,-4459,4455
3436,-4566,1130
4092,-4050,-42
4950,-3502,-1448
4834,-1971,-2863
3988,783,-4771
2578,3675,-6253
754,4178,-4932
-3258,4603,-1345
-3881,4727,-846
-4945,4141,804
-5230,3077,2153
-4496,1080,3416
-3638,-3856,7494
-1951,-3910,5861
-321,-4426,4747
3106,-4735,1629
4153,-4426,273
4954,-3778,-1176
4896,-2223,-2673
4071,-107,-3964
2805,3522,-6327
1093,4141,-5234
-3910,4488,-578
-3696,4690,-994
-4846,4133,713
-5218,3155,2063
-4665,1270,3395
-3634,-3960,7594
-2062,-3782,5844
-338,-4463,4801
3089,-4756,1667
4104,-4368,264
4925,-3708,-1217
4851,-2301,-2550
4236,-231,-4005
2763,3506,-6269
1064,4166,-5230
-3832,4545,-713
-3654,4640,-986
-4842,4252,590
-5164,3229,1935
-4554,1328,3226
-3708,-3914,7622
-2013,-3869,5882
-391,-4380,4771
2974,-4648,1674
4046,-4347,301
4855,-3790,-1065
4834,-2297,-2537
4100,-90,-4010
2858,3436,-6294
1047,4075,-5122
-3865,4372,-507
-3601,4516,-915
-4653,4071,582
-5036,3073,1963
-4450,1134,3316
-3444,-3885,7329
-1881,-3683,5564
-371,-4364,4735
3007,-4479,1472
3988,-4042,54
4793,-3345,-1448
4669,-1881,-2788
3823,569,-4392
2536,3547,-6083
709,4067,-4776
-2994,4422,-1428
-3803,4397,-594
-4780,3960,820
-5011,2805,2206
-4199,771,3428
-3287,-3592,6879
-1625,-3832,5457
-99,-4269,4368
3304,-4347,1043
4186,-3976,-210
4834,-3328,-1506
4611,-1761,-2850
3663,1563,-5226
2235,3729,-5964
515,4125,-4640
-2850,4488,-1638
-3968,4438,-470
-4822,3840,982
-4921,2706,2215
-4145,585,3560
-3139,-3403,6542
-1575,-3935,5510
668,-4587,3919
3588,-4657,1069
4265,-4191,-74
5049,-3510,-1539
4710,-1806,-2904
3955,1093,-5048
2495,3724,-6219
763,4203,-4966
-3097,4607,-1510
-3828,4521,-693
-4764,4038,726
-5044,3019,2025
-4368,969,3399
-3403,-3782,7185
-1703,-3823,5526
-16,-4430,4446
3345,-4483,1138
4211,-4100,-111
4871,-3316,-1555
4657,-1806,-2851
3795,1439,-5234
2487,3568,-6055
726,4030,-4756
-3217,4384,-1167
-3724,4327,-603
-4710,3889,821
-4838,2685,2153
-4145,668,3477
-3040,-3436,6476
-1472,-3836,5308
1188,-4360,3172
3572,-4455,883
4248,-3972,-276
4958,-3229,-1729
4677,-1633,-3044
3786,1992,-5778
2380,3658,-6038
581,4125,-4706
-2854,4607,-1753
-3931,4492,-561
-4875,3976,899
-5040,2747,2293
-4318,672,3646
-3217,-3382,6599
-1666,-4042,5708
511,-4516,4005
3605,-4892,1287
4314,-4475,161
5086,-3720,-1366
4941,-2046,-2895
4162,70,-4232
2862,3551,-6413
1031,4166,-5197
-3927,4529,-602
-3741,4702,-961
-4879,4203,676
-5181,3143,2038
-4698,1183,3515
-3621,-4017,7638
-2025,-3840,5865
-317,-4512,4829
3122,-4818,1696
4145,-4463,318
4892,-3811,-1081
4941,-2429,-2512
4290,-309,-3981
2842,3411,-6253
1122,4133,-5255
-3939,4549,-610
-3696,4710,-1014
-4793,4306,487
-5131,3130,2001
-4636,1315,3321
-3762,-3955,7717
-2107,-3828,5935
-445,-4335,4780
2899,-4690,1791
4026,-4384,358
4908,-3848,-1060
4879,-2425,-2454
4120,-235,-3885
2871,3440,-6311
1208,4104,-5312
-3844,4483,-639
-3675,4710,-1035
-4776,4178,598
-5238,3275,1963
-4702,1369,3333
-3782,-3861,7643
-2140,-3778,5918
-528,-4384,4912
3056,-4665,1609
4001,-4450,449
4892,-3889,-1003
5032,-2664,-2368
4186,-404,-3782
2994,3378,-6372
1369,4005,-5374
-3436,4426,-990
-3547,4587,-1040
-4644,4145,499
-5143,3267,1876
-4508,1315,3193
-3683,-3704,7387
-1934,-3691,5625
-457,-4228,4685
2833,-4483,1650
3960,-4108,148
4694,-3531,-1163
4694,-2145,-2549
3951,-8,-3943
2565,3423,-5988
841,3976,-4817
-3361,4331,-970
-3712,4405,-693
-4739,3931,808
-4933,2800,2133
-4191,816,3375
-3279,-3568,6847
-1753,-3844,5597
503,-4450,3947
3444,-4640,1196
4207,-4215,8
5020,-3588,-1432
4818,-2008,-2810
4063,573,-4636
2677,3733,-6410
948,4285,-5233
-3407,4826,-1419
-3799,4966,-1167
-4846,4314,532
-5337,3328,2009
-4785,1402,3383
-3885,-3844,7729
-2165,-3906,6071
-433,-4483,4916
2904,-4719,1815
3997,-4380,383
4809,-3836,-973
4830,-2429,-2401
3984,-218,-3766
2858,3378,-6236
1072,4005,-5077
-3762,4294,-532
-3572,4488,-916
-4706,4059,647
-4962,3081,1881
-4413,1126,3287
-3489,-3836,7325
-1897,-3774,5671
-342,-4356,4698
3040,-4450,1410
3980,-4005,25
4747,-3436,-1311
4739,-2004,-2735
3894,404,-4298
2586,3551,-6137
730,4120,-4850
-3180,4516,-1336
-3782,4529,-747
-4809,4021,788
-5044,2883,2161
-4372,899,3473
-3481,-3634,7115
-1790,-3910,5700
-94,-4368,4462
3419,-4714,1295
4290,-4302,12
5110,-3642,-1468
4838,-1996,-2842
4133,210,-4343
2842,3658,-6500
1200,4269,-5469
-3947,4533,-586
-3654,4801,-1147
-4826,4257,569
-5168,3308,1860
-4727,1398,3329
-3782,-3786,7568
-2099,-3869,5968
-371,-4417,4788
3073,-4813,1740
4083,-4409,326
4838,-3753,-1085
4867,-2289,-2578
4178,-272,-3906
2854,3440,-6294
1171,4083,-5254
-3828,4492,-664
-3605,4554,-949
-4698,4224,474
-5036,3135,1901
-4446,1262,3184
-3613,-3968,7581
-1938,-3906,5844
-313,-4434,4747
3192,-4752,1560
4170,-4442,272
5011,-3790,-1221
4929,-2351,-2578
4120,-152,-3968
2920,3543,-6463
1262,4096,-5358
-3469,4492,-1023
-3613,4727,-1114
-4620,4207,413
-5247,3271,1976
-4714,1419,3295
-3807,-3745,7552
-2136,-3836,5972
-495,-4409,4904
3056,-4686,1630
3988,-4339,351
4826,-3799,-1027
5007,-2433,-2574
4178,-350,-3828
2850,3407,-6257
1295,3955,-5250
-3328,4351,-1023
-3733,4471,-738
-4719,4038,681
-5016,3135,1881
-4356,1245,3111
-3572,-3906,7478
-1839,-3766,5605
-391,-4252,4643
2879,-4463,1584
3993,-4075,82
4714,-3427,-1287
4632,-2021,-2611
3852,160,-4012
2470,3423,-5893
680,3960,-4640
-3097,4327,-1230
-3733,4343,-610
-4661,3762,899
